RS Dr. Hasan Sadikin Bandung,Jl. Pasteur No. 38,Kota Bandung - Jawa Barat,022 2034953,3,4,2,0,13,http://web.rshs.or.id/
RS Al Islam Bandung,Jl. Soekarno Hatta No. 644,Kota Bandung - Jawa Barat,022 7565588,2,1,3,1,0,https://www.rsalislam.com/
RS Immanuel Bandung,Jl. Kopo No. 161,Kota Bandung - Jawa Barat,022 5200358,3,4,1,0,0,http://www.rsimmanuel.com/
RSJ Jiwa Cisarua Bandung,Jl. RE Martadinata No.11,Kota Bandung - Jawa Barat,022 4203651,1,3,3,0,0,http://rsj.jabarprov.go.id/
RS Muhammadiyah Bandung,Jl. KH Ahmad Dahlan No. 53,Kota Bandung - Jawa Barat,022 7301062,1,2,3,2,0,http://www.rsmb.co.id/
RSUD Soreang Kab. Bandung,Jl. Alun-Alun Utara No.1,Soreang Kab. Bandung - Jawa Barat,022 5891355,2,3,1,2,0,https://ppid.bandungkab.go.id/site/department/id/277
RS Advent Bandung,Jalan Cihampelas No. 161,Cipaganti - Coblong Kota Bandung - Jawa Barat,022 2034386,1,4,2,1,0,http://www.rsadventbandung.com/
RSIA Limijati,Jalan R. E. Martadinata No. 33-39,Citarum - Bandung Wetan Kota Bandung - Jawa Barat,022 4207770,1,1,2,3,0,https://www.instagram.com/limijatihospital/?hl=en
RS Khusus Bedah Halmahera Siaga,Jl. R. E. Martadinata No. 28,Citarum - Bandung Wetan Kota Bandung - Jawa Barat,022 4206061,1,2,1,0,0,https://halmaherasiaga.com/
RS Astana Anyar,Jl. Astana Anyar No. 40,Kota Bandung - Jawa Barat,022 5201139,2,3,2,1,0,http://rskiakotabandung.com/
RS Bhayangkara Sartika Asih,Jl. Moch Toha No.369,Kota Bandung - Jawa Barat,022 5229644,1,3,3,2,0,http://rsbsabandung.com/
Rumah Sakit Bungsu,Jl. Veteran No. 6,Kota Bandung - Jawa Barat,022 4231550,0,4,1,1,0,https://www.alodokter.com/cari-rumah-sakit/rs-bungsu
RS Hermina Arcamanik,Jl. A H Nasution No. 50,Kota Bandung - Jawa Barat,022 87242525,3,4,1,0,0,http://herminahospitals.com/hermina-arcamanik/
RSIA Hermina Pasteur,Jl. Dr. Djunjunan No. 107,Kota Bandung - Jawa Barat,022 6072525,2,2,4,4,0,http://herminahospitals.com/hermina-pasteur/
Rumah Sakit Sariningsih,JL RE Martadinata No.9,Kota Bandung - Jawa Barat,022 4204257,3,4,5,1,0,http://www.rssariningsih.com/
RS St. Borromeus,Jl. Juanda No. 100,Kota Bandung - Jawa Barat,022 2504041,4,2,3,5,0,http://rsborromeus.com/
RS Mitra Anugrah Lestari,Jalan Cibaligo No. 76,Cimindi - Cimahi Tengah,022 6027204,2,2,2,1,0,http://bppsdmk.kemkes.go.id/info_sdmk/info/fasyankes?unit=3277018
